[INFO: train.py:  187]: Namespace(batch_size=None, config='configs/resnet.txt', epoch=65, learning_rate=None, model_name='resnet', pretrain=None, save_dir='checkpoints_models', use_gpu=True)
[INFO: config.py:   55]: ---------------- Train configs :  Arguments ----------------
[INFO: config.py:   57]: MODEL:
[INFO: config.py:   59]:     name:resnet
[INFO: config.py:   59]:     format:pkl
[INFO: config.py:   59]:     num_classes:101
[INFO: config.py:   59]:     seg_num:1
[INFO: config.py:   59]:     seglen:16
[INFO: config.py:   59]:     image_mean:[0.485, 0.456, 0.406]
[INFO: config.py:   59]:     image_std:[0.229, 0.224, 0.225]
[INFO: config.py:   59]:     num_layers:50
[INFO: config.py:   57]: TRAIN:
[INFO: config.py:   59]:     epoch:65
[INFO: config.py:   59]:     short_size:240
[INFO: config.py:   59]:     target_size:112
[INFO: config.py:   59]:     num_reader_threads:1
[INFO: config.py:   59]:     buf_size:1024
[INFO: config.py:   59]:     batch_size:128
[INFO: config.py:   59]:     use_gpu:True
[INFO: config.py:   59]:     num_gpus:1
[INFO: config.py:   59]:     filelist:./lyj/train.list
[INFO: config.py:   59]:     learning_rate:0.01
[INFO: config.py:   59]:     learning_rate_decay:0.1
[INFO: config.py:   59]:     l2_weight_decay:0.0001
[INFO: config.py:   59]:     momentum:0.9
[INFO: config.py:   59]:     total_videos:80
[INFO: config.py:   57]: VALID:
[INFO: config.py:   59]:     seg_num:7
[INFO: config.py:   59]:     short_size:240
[INFO: config.py:   59]:     target_size:112
[INFO: config.py:   59]:     num_reader_threads:1
[INFO: config.py:   59]:     buf_size:1024
[INFO: config.py:   59]:     batch_size:10
[INFO: config.py:   59]:     filelist:./lyj/test.list
[INFO: config.py:   60]: -------------------------------------------------

[INFO: train.py:  174]: Loss at epoch 0 step 0: [4.835358], acc: [0.0078125]
[INFO: train.py:  174]: Loss at epoch 0 step 1: [4.8393316], acc: [0.]
[INFO: train.py:  174]: Loss at epoch 0 step 2: [4.8542643], acc: [0.015625]
[INFO: train.py:  174]: Loss at epoch 0 step 3: [4.8022795], acc: [0.0078125]
[INFO: train.py:  174]: Loss at epoch 0 step 4: [4.7932854], acc: [0.0078125]
[INFO: train.py:  174]: Loss at epoch 0 step 5: [4.701234], acc: [0.015625]
[INFO: train.py:  174]: Loss at epoch 0 step 6: [4.670293], acc: [0.]
[INFO: train.py:  174]: Loss at epoch 0 step 7: [4.787251], acc: [0.]
[INFO: train.py:  174]: Loss at epoch 0 step 8: [4.7271786], acc: [0.]
[INFO: train.py:  174]: Loss at epoch 0 step 9: [4.6483407], acc: [0.0078125]
[INFO: train.py:  174]: Loss at epoch 0 step 10: [4.6727986], acc: [0.015625]
[INFO: train.py:  174]: Loss at epoch 0 step 11: [4.6305923], acc: [0.0078125]
[INFO: train.py:  174]: Loss at epoch 0 step 12: [4.6780343], acc: [0.0078125]
[INFO: train.py:  174]: Loss at epoch 0 step 13: [4.6401916], acc: [0.0078125]
[INFO: train.py:  174]: Loss at epoch 0 step 14: [4.6588044], acc: [0.015625]
[INFO: train.py:  174]: Loss at epoch 0 step 15: [4.6278014], acc: [0.]
[INFO: train.py:  174]: Loss at epoch 0 step 16: [4.6432357], acc: [0.0078125]
[INFO: train.py:  174]: Loss at epoch 0 step 17: [4.691739], acc: [0.03125]
[INFO: train.py:  174]: Loss at epoch 0 step 18: [4.6947947], acc: [0.]
[INFO: train.py:  174]: Loss at epoch 0 step 19: [4.5898952], acc: [0.0078125]
[INFO: train.py:  174]: Loss at epoch 0 step 20: [4.7104588], acc: [0.0078125]
